timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197825161,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197826162,41171,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197826162,3253,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197826162,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197827164,41150,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197827164,3921,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197827164,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197828164,41223,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197828164,8724,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197828164,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197829165,41214,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197829165,11426,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197829165,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197830165,41211,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197830165,9459,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197830165,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197831166,41280,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197831166,8651,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197831166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197832166,41294,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197832166,8276,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197832166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197833166,41304,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197833166,4984,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197833166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197834166,41308,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197834166,2991,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197834166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197835166,41322,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197835166,5041,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197835166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197836166,41321,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197836166,9008,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197836166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197837167,41313,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197837167,4901,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197837167,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197838167,41406,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197838167,22815,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197838167,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197839167,41527,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197839167,4961,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197839167,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197840167,41465,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197840167,4929,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197840167,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197841167,41445,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197841167,265,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197841167,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197842168,41568,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197842168,13293,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197842168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197843168,41567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197843168,9687,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197843168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197844168,41638,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197844168,27622,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197844168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197845168,41798,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197845168,11105,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197845168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197846168,41728,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197846168,5961,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197846168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197847168,41712,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197847168,2969,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197847168,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197848169,41747,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197848169,6851,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197848169,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197849169,41722,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197849169,4620,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197849169,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197850169,41707,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197850169,6053,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197850169,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197851170,41704,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197851170,15183,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197851170,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197852170,41718,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197852170,11353,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197852170,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197853170,41664,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197853170,10672,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197853170,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197854170,41693,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197854170,5019,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197854170,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
